PlayerName,Team,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G60,A60,FirstA60,Points60,Shots60,iFenwick60,iCorsi60,IGP,IAP,IPP,Year,Position,Situation
"SEDIN, HENRIK",Vancouver,1078:16:00,9,28,18,37,85,119,145,10.59,0.501,1.558,1.002,2.06,4.73,6.622,8.069,19.6,60.9,80.4,2007,Forward,5v5
"HEJDUK, MILAN",Colorado,1020:06:00,19,16,10,35,142,179,222,13.38,1.117,0.941,0.588,2.06,8.35,10.528,13.057,38,32,70,2007,Forward,5v5
"LUPUL, JOFFREY",Philadelphia,672:59:00,11,12,8,23,107,133,164,10.28,0.981,1.07,0.713,2.05,9.54,11.858,14.621,33.3,36.4,69.7,2007,Forward,5v5
"LEGWAND, DAVID",Nashville,761:45:00,11,15,8,26,93,113,136,11.83,0.866,1.181,0.63,2.05,7.33,8.901,10.712,31.4,42.9,74.3,2007,Forward,5v5
"SHARP, PATRICK",Chicago,970:01:00,17,16,8,33,131,171,208,12.98,1.052,0.99,0.495,2.04,8.1,10.577,12.866,32.7,30.8,63.5,2007,Forward,5v5
"WILLIAMS, JASON",Chicago,499:42:00,7,10,7,17,49,63,78,14.29,0.841,1.201,0.841,2.04,5.88,7.564,9.366,29.2,41.7,70.8,2007,Forward,5v5
"VANEK, THOMAS",Buffalo,1006:24:00,14,20,12,34,153,201,233,9.15,0.835,1.192,0.715,2.03,9.12,11.983,13.891,27.5,39.2,66.7,2007,Forward,5v5
"HAYDAR, DARREN",Winnipeg,148:38:00,1,4,3,5,11,12,20,9.09,0.404,1.615,1.211,2.02,4.44,4.844,8.074,14.3,57.1,71.4,2007,Forward,5v5
"LANGKOW, DAYMOND",Calgary,1100:16:00,13,24,19,37,129,179,213,10.08,0.709,1.309,1.036,2.02,7.03,9.761,11.615,22.8,42.1,64.9,2007,Forward,5v5
"DUBINSKY, BRANDON",NY Rangers,925:02:00,12,19,10,31,119,164,192,10.08,0.778,1.232,0.649,2.01,7.72,10.637,12.454,29.3,46.3,75.6,2007,Forward,5v5
"SYKORA, PETR",Pittsburgh,985:37:00,13,20,14,33,125,181,243,10.4,0.791,1.218,0.852,2.01,7.61,11.018,14.793,30.2,46.5,76.7,2007,Forward,5v5
"GLENCROSS, CURTIS",Edmonton,628:41:00,12,9,5,21,92,121,153,13.04,1.145,0.859,0.477,2,8.78,11.548,14.602,44.4,33.3,77.8,2007,Forward,5v5
"COLE, ERIK",Carolina,961:15:00,11,21,16,32,145,199,251,7.59,0.687,1.311,0.999,2,9.05,12.421,15.667,21.2,40.4,61.5,2007,Forward,5v5
"HUSELIUS, KRISTIAN",Calgary,1051:46:00,17,18,12,35,146,177,220,11.64,0.97,1.027,0.685,2,8.33,10.097,12.55,34,36,70,2007,Forward,5v5
"GAGNER, SAM",Edmonton,963:26:00,9,23,17,32,96,136,169,9.38,0.56,1.432,1.059,1.99,5.98,8.47,10.525,23.7,60.5,84.2,2007,Forward,5v5
"MICHALEK, MILAN",San Jose,1032:59:00,15,19,11,34,151,203,253,9.93,0.871,1.104,0.639,1.97,8.77,11.791,14.695,28.8,36.5,65.4,2007,Forward,5v5
